Channel Title,Channel ID,View Count,Subscribers,Total Videos,Country,Started Date,Category
Cars Simplified,UCDUz1cHTRYPavruT-G4ivcA,9863622,34800,403,United States,2011-06-11,Autos & Vehicles
Auto cars Avengers ,UC3cOfkuK74yJhqoEku1Laiw,267593,1070,732,Australia,Unknown,Autos & Vehicles
Stuttgart Autos - Mercedes-Benz,UCJO4qdwDNpLnl9Peo9zkCxg,232,0,16,N/A,Unknown,Autos & Vehicles
MOHRA AUTOS,UCZrqUezbLbZoqm-BgDbJGbg,579,42,5,N/A,Unknown,Autos & Vehicles
Auto-Ethnographer,UCtrD6CPH0KXdKrIRBnTHpuQ,371,31,9,United States,Unknown,Autos & Vehicles
Selective Autos,UCBAT7O9cMQAu35BKmxiqQTQ,821697,699,1078,Australia,2016-03-14,Autos & Vehicles
Arabs Auto,UCEY0vzb6Jj_4DxmQ-sAB4Bg,1444322,56100,272,Australia,2017-05-12,Autos & Vehicles
Unique Auto Developments,UC-q4AdnORIXvk5DmFsF9IWg,1494492,2770,66,United Kingdom,2017-11-15,Autos & Vehicles
Romano's Automotive,UC8v1pioTmL0Kz59NyZYqyoQ,1217319,5920,107,Australia,Unknown,Autos & Vehicles
organic autos ,UCD29ZhXQhBnf4Js6xaWELrg,0,0,2,N/A,Unknown,Autos & Vehicles
A Nice Car DE,UCwwwhkRHx6dqpqDqUBt5USg,254203,1040,14,Germany,Unknown,Autos & Vehicles
The Word on Cars,UCG3COLtXfdJEt7Rt7U-zwRg,193801,796,113,N/A,Unknown,Autos & Vehicles
Cool Car Collective,UCgQZ126Wn6jBGJ0Eu5kw9Uw,10361680,11700,31,Australia,Unknown,Autos & Vehicles
OCAR Oliver’s cars and reviews,UC6qqNXESOyDLHSaL_LGBP6g,330295,1790,728,N/A,Unknown,Autos & Vehicles
WA Sporting Car Club,UCtTQsMEBxOg4yURWrOb7wYw,63142,726,117,Australia,Unknown,Autos & Vehicles
Doc's Auto Barn,UC7BW_h1YQON4RYm6eGqEIWg,13290,297,17,United Kingdom,Unknown,Autos & Vehicles
Westpoint Autos,UCHZJcxWwM9YHId-Ta3oW-5Q,753178,1190,658,N/A,2012-01-06,Autos & Vehicles
High Peak Autos,UCbWncaJZ7ynkv28k1wlpFsw,152162817,477000,700,United Kingdom,2018-08-25,Autos & Vehicles
Paulico Autos,UC2lVkWaQUvgthEySxvQ4E7Q,11839,15,222,N/A,2019-05-20,Autos & Vehicles
