Channel ID,Channel Title,Category,Country,Year,Sum of Subscribers,Sum of Total Videos,Sum of View Count,Channel Age,Subscribers per view,Subscribers per year,Viewers per year,Is_SubscriberOutlier,Is_TotalVideosOutlier,Is_ViewCountOutlier,Sum of Log_Subscribers,Sum of Log_TotalVideos,Sum of Log_ViewCount
UCPKqdIqRoaaxOBmkUpNbFVw,HowTo,Howto & Style,India,2011,37,10,2131,14,0.01736274,2.642857143,152.2142857,No,No,No,1.5797835966168101,1.0413926851582251,3.3287872003545345
UCPKUJvHD7NdEQOdc5X_7QDg,NowGetThere Travel,Travel & Events,Australia,2016,3210,87,727566,9,0.004411971,356.6666667,80840.66667,No,No,No,3.5066403055665023,1.9444826721501687,5.861872992696398
UCPpddbTbOr_uWWQT9Pw1rbA,EA SPORTS MADDEN NFL,Sports,United States,2006,781000,2679,257652594,19,0.003031213,41105.26316,13560662.84,No,No,No,5.892651589951825,3.428134794028789,8.41103452090346
UCpQB577lHFyWTyvrS73Ldlg,Brick Science,Science & Technology,United States,2016,2090000,245,493192313,9,0.004237698,232222.2222,54799145.89,No,No,No,6.320146493907407,2.3909351071033793,8.693016299851111
UCPrbh_9pghzmzkI1wJJRv7Q,Science Buddies,Science & Technology,United States,2009,381000,955,228954216,16,0.001664088,23812.5,14309638.5,No,No,No,5.580926115554654,2.9804578922761,8.359748647003109
UCPRCRM3JKm3sw55lB_427qg,Mystery Science,Science & Technology,United States,2017,929000,247,345443045,8,0.0026893,116125,43180380.63,No,No,No,5.968016181479377,2.3944516808262164,8.538376454468963
UCPtvKh4m9OBdCmKzqP3kypg,World Animal Awareness Society,Pets & Animals,United States,2012,411000,690,110512996,13,0.00371902,31615.38462,8500999.692,No,No,No,5.613842878552355,2.8394780473741985,8.043413356694913
UCPur06mx78RtwgHJzxpu2ew,Wind Walk Travel Videos ʬ,Travel & Events,United States,2016,234000,580,64247320,9,0.003642175,26000,7138591.111,No,No,No,5.369217713365502,2.7641761323903307,7.80785502306677
UCPwyD5iEt_3muKLep3_cPxA,Santikos Entertainment,Entertainment,United States,2015,13500,655,6586763,10,0.002049565,1350,658676.3,No,No,No,4.130365937265207,2.8169038393756605,6.8186721031965085
UCpyQHdmKhMGn3iMPwQOA2Yg,blue Sport,Sports,Switzerland,2017,76100,4122,50237698,8,0.001514799,9512.5,6279712.25,No,No,No,4.881390363625086,3.6152133348013584,7.7010297395172
UCq275NTZWksm70kbb-zcZUw,ABC Education,Education,Australia,2012,54300,678,12524128,13,0.004335631,4176.923077,963394.4615,No,No,No,4.734807827571958,2.8318697742805017,7.097747532252098
UCq2PXX30Djb2a84-ySn3FNw,Dental Education Hub,Education,Pakistan,2016,44700,330,2972437,9,0.015038166,4966.666667,330270.7778,No,No,No,4.650317238783482,2.519827993775719,6.473112804741127
UC-q4AdnORIXvk5DmFsF9IWg,Unique Auto Developments,Autos & Vehicles,United Kingdom,2017,2770,66,1494492,8,0.001853473,346.25,186811.5,No,No,No,3.442636525782232,1.8260748027008264,6.174493885204344
UCq7VQOmqxTOqCkWXm8N4Ffw,Australian Visa News - by Bravo Migration,News & Politics,Australia,2013,9940,135,498165,12,0.019953228,828.3333333,41513.75,No,No,No,3.9974300737974713,2.1335389083702174,5.697374083464908
UCqa5gDXXxK0M8gr8WadV4yw,Travel Kids,Travel & Events,United States,2015,43800,208,8297174,10,0.005278906,4380,829717.4,No,No,No,4.641484025790042,2.3201462861110542,6.918930250116988
UCQAfCG_aiucFLXNnkukgLvw,Curitiba Comedy Shorts,Comedy,Brazil,2013,564000,1581,119226156,12,0.004730506,47000,9935513,No,No,No,5.751279874008337,3.1992064791616577,8.076371545627
UCQck1eAT_665Vn31P7qSzXQ,Ciné Nanar - Films Complets en Français,Film & Animation,France,2015,823000,288,144201110,10,0.005707307,82300,14420111,No,No,No,5.915400362908768,2.4608978427565478,8.158968606425786
UCqcPmyNeEsdctCDkXg3R-Kg,INSPI GAMING,Gaming,Philippines,2019,787000,2103,163033394,6,0.004827232,131166.6667,27172232.33,No,No,No,5.895975284194142,3.3230457354817013,8.212276572371634
UC-QcZISbFb9EiIEQ41cVhxw,Science Mom,Science & Technology,United States,2016,70600,309,5412564,9,0.013043726,7844.444444,601396,No,No,No,4.848810852488152,2.4913616938342726,6.733403124875846
UCQEi7BoLU6rmV8Eb23l1vYw,Glasshammer Gaming,Gaming,United Kingdom,2018,14800,552,1307839,7,0.011316378,2114.285714,186834.1429,No,No,No,4.170291058625393,2.7427251313046983,6.116554616031499
UCQgAxlKuI5ZG9YDEeRJZg-Q,Frontline Education,Education,United States,2012,1810,198,215094,13,0.008414926,139.2307692,16545.69231,No,No,No,3.2579184503140586,2.298853076409707,5.332630315093888
UCQGBlURuz73Max8OyenliZg,Central Coast News,News & Politics,Australia,2017,962,621,179526,8,0.005358555,120.25,22440.75,No,No,No,2.9836262871245345,2.7937903846908188,5.254129773634136
UCqGE-jrAMzhipIWivRsaI5A,Donkey Tube,Comedy,United States,2017,2910000,1852,559225339,8,0.005203627,363750,69903167.38,Yes,No,No,6.463893138227972,3.2678754193188975,8.747586842231248
UCQ-I1Xcrf5i7v2_gv75r3OA,Brainwave Music,Music,Australia,2013,1360000,952,280961315,12,0.004840524,113333.3333,23413442.92,No,No,No,6.133539227704278,2.979092900638326,8.448646528430876
UCQIrD4KwYrVWoj7F8Aqbqlg,"Academy of Film, Theatre and Television",Film & Animation,Australia,2010,805,188,175459,15,0.004587966,53.66666667,11697.26667,No,No,No,2.906335041805091,2.2764618041732443,5.244178125022544
